新聞社, カテゴリ, 件数, CLI_AVE, CLI_VAR, FKG_AVE, FKG_VAR, SVL_AVE_AVE, SVL_AVE_VAR, TOEIC_AVE_AVE, TOEIC_AVE_VAR, SVLの平均単語数, 平均単語数
CNN, Money news, 92, 11.81015265062793, 0.7430365034943714, 9.443373238750405, 1.4543487439831748, 2.4187553600006404, 0.02822212065661716, 326.59919770811956, 156.47403517703285, 214.67391304347825, 264.94565217391306
CNN, Money technology, 59, 12.038858787380402, 0.7855914041098689, 9.277198501738262, 1.1687216671872147, 2.4242824513092818, 0.024347417841307336, 328.29033222880145, 143.1172373754158, 219.91525423728814, 270.96610169491527
CNN, Money investing, 100, 11.528045649748467, 0.528461186293066, 8.68364540244715, 1.0549926752118355, 2.4231544745341806, 0.02191347491748303, 326.58252171303263, 106.86547916604106, 237.87, 295.12
CNN, Money media, 35, 11.649896392666388, 0.43100037317889556, 9.358569894955583, 1.1119473951941952, 2.432245881444027, 0.03046093080934707, 329.5260789430289, 152.17549167363885, 222.82857142857142, 279.6
CNN, Money luxury, 7, 11.982101522254755, 0.7079796552432399, 9.059889021420762, 1.6119639405035873, 2.449518703911533, 0.08284380949644153, 327.77892185607544, 353.6981135076731, 188.0, 236.42857142857142
CNN, Science Space 11, 3, 12.244911963298135, 0.16223935363560602, 10.737942302348536, 0.7311409186612688, 2.2390386902117103, 0.003018501569906402, 313.376836567217, 0.901363800856568, 229.66666666666666, 266.6666666666667
CNN, Technology tech, 53, 10.992859976464095, 1.4688337708161767, 10.674930093927516, 3.7052245859777706, 2.2820881282702543, 0.04351747654854658, 316.85989317569084, 266.42438819469044, 271.9056603773585, 307.52830188679246
CNN, Technology opinion, 12, 11.710058827004426, 1.337959863921732, 11.036346016011962, 3.3155923251594785, 2.464715212115489, 0.0375936718380906, 329.39241120389585, 172.74383174440268, 393.8333333333333, 446.5
CNN, Technology business, 2, 12.57685332773355, 0.3926013744452125, 12.333840722313049, 0.8063672797336636, 2.5101920950801553, 0.013612723467683734, 339.361518780427, 17.427309310712367, 242.0, 277.5
CNN, Entertainment showbiz, 59, 10.26919539358464, 2.413575374028653, 17.644003106266567, 2222.001378976275, 2.007246459544309, 0.052132733167099855, 297.2878089531385, 232.38001083163118, 145.9322033898305, 187.1864406779661
CNN, Entertainment us, 1, 10.5203216783217, 0.0, 10.6147309833024, 0.0, 2.48679245283019, 0.0, 334.941634241245, 0.0, 265.0, 320.0
CNN, Entertainment politics, 1, 8.73958053691278, 0.0, 4.3992613031271, 0.0, 2.01587301587302, 0.0, 290.751633986928, 0.0, 315.0, 364.0
CNN, World africa, 17, 12.037293554196308, 1.545991425967312, 11.391084798899042, 3.363405748597192, 2.450564869196282, 0.06662026347124392, 326.66672147307486, 274.3064520064164, 260.47058823529414, 297.11764705882354
CNN, World politics, 11, 11.2925569085778, 0.617305275373795, 13.024681714253427, 1.52323700713967, 2.31801135251505, 0.06366148525655613, 321.29742197559136, 288.07682666123975, 260.8181818181818, 307.1818181818182
CNN, Money autos, 12, 11.269881501568378, 0.9503597469343301, 8.756690402347319, 0.6514713213360174, 2.4059082542765613, 0.028256694124504617, 326.374454465434, 151.99945272570275, 197.25, 248.58333333333334
CNN, World us, 8, 11.2223127447103, 1.4399351887775746, 10.55249504951414, 5.164917008421937, 2.19394339956003, 0.05780753875741551, 307.2643758066987, 243.66532402957827, 203.125, 236.125
CNN, World china, 4, 11.788106379539752, 0.4965248993015726, 12.75001111536985, 2.6178347519902365, 2.440451257782035, 0.05774300526173969, 323.84584514348325, 235.05011779306759, 266.25, 301.5
CNN, World football, 2, 9.81625569228699, 0.0031163160983069278, 10.26518549547432, 0.7937280798852279, 2.1786963434022297, 0.056415689981573994, 311.4884708962685, 196.37503874838777, 430.5, 524.5
CNN, World Sport football, 52, 10.624730792906254, 1.0922937738217005, 11.040719802878849, 3.5102120148351252, 2.207755317328485, 0.060218049508009276, 309.622559245474, 293.8952886793284, 287.2307692307692, 343.5576923076923
CNN, World Sport tennis, 25, 9.247337798568072, 0.4202108310080601, 8.36764701677884, 3.0748397889770245, 1.9887433465926323, 0.032111581382265664, 294.5904771046912, 224.59896036494848, 249.32, 299.8
CNN, Money real_estate, 2, 12.004405757074899, 0.057672732551913145, 8.45814976339344, 0.013045783382122, 2.42723311546841, 5.7432801249285235e-06, 324.7598064187465, 11.917091835741594, 144.0, 188.0
CNN, Technology us, 9, 10.043258006414483, 0.5527674785719836, 9.274083537815539, 1.928256903696305, 2.031606708116869, 0.020516854506789906, 298.84863149630087, 179.6419439471835, 198.55555555555554, 228.33333333333334
CNN, Technology technology, 1, 10.4039908256881, 0.0, 10.1105318156372, 0.0, 2.34042553191489, 0.0, 327.801857585139, 0.0, 329.0, 377.0
